,Lot,Wafer,Mask,TestSite,Name:,Date,Row,Column,Min,Max,R Square
0,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:17:03 2019,-1,-1,-14.842413740087068,-7.865232131676748,-11757.324685242225
1,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:23:09 2019,-1,-3,-14.80921890377067,-9.05611177161336,-11774.38490162609
2,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:23:41 2019,-1,3,-15.8337910361588,-9.491288743913174,-11781.048153656217
3,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:53:07 2019,-3,-3,-12.84834573045373,-8.345744512975216,-11757.216508642037
4,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:41:08 2019,-3,0,-15.59014969598502,-8.910384131595492,-11774.146994799252
5,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:29:59 2019,-3,2,-16.270585406105965,-9.523608943680301,-11783.396988727354
6,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:47:08 2019,-4,-1,-14.165772672742605,-9.581166358664632,-11776.3065945818
7,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:59:15 2019,0,-4,-15.040720117278397,-9.729835473466665,-11782.102264163555
8,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:10:52 2019,0,0,-15.679337128996849,-7.802330819889903,-11758.256628426663
9,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:35:08 2019,0,2,-15.271299472777173,-8.047353365691379,-11761.514849413603
10,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:29:08 2019,2,-1,-17.51367607107386,-8.20582821033895,-11770.545700099881
11,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:05:20 2019,2,-3,-16.64096756046638,-9.491354475263506,-11782.682559637502
12,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:17:18 2019,2,2,-15.59569681249559,-8.384886757470667,-11766.011276440073
13,HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:11:19 2019,3,0,-17.575899267569184,-8.798578070476651,-11777.746258765785
14,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:00:46 2019,-1,-1,-19.51330937165767,-8.559803063049912,-11782.625022016173
15,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 09:24:07 2019,-1,-1,-23.787841569632292,-5.5617931126616895,-5808.914587474103
16,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:02:28 2019,-1,-3,-19.530407009646297,-9.365062242373824,-11794.5530369614
17,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 09:55:58 2019,-1,-3,-27.673953734338284,-5.540792044252157,-5814.895830595843
18,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:19:41 2019,-1,3,-19.9366464195773,-9.9740144694224,-11802.219278841114
19,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 15:15:22 2019,-1,3,-29.329835893586278,-6.34232135489583,-5822.487754032235
20,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:11:11 2019,-3,-3,-18.694954749196768,-8.776123767718673,-11777.24200542222
21,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 12:35:44 2019,-3,-3,-25.878845107741654,-6.059166654013097,-5811.772593577262
22,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:07:30 2019,-3,0,-19.24436363019049,-9.153465343639255,-11790.529732370998
23,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 11:31:53 2019,-3,0,-28.72853859141469,-5.5983978933654726,-5817.315177924664
24,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:21:13 2019,-3,2,-19.268353988416493,-10.134538275189698,-11801.667481262397
25,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 15:47:16 2019,-3,2,-27.450281217694283,-6.598169657867402,-5819.1559363817005
26,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:09:01 2019,-4,-1,-18.17793001793325,-9.05409767664969,-11779.68135897939
27,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 12:03:46 2019,-4,-1,-25.480275137582794,-6.301114477682859,-5812.492873085665
28,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:12:44 2019,0,-4,-19.395564064849168,-10.242750610690564,-11803.966946747221
29,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 13:07:36 2019,0,-4,-27.341336344368756,-6.436824753880501,-5818.5987765922455
30,HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 11:59:15 2019,0,0,-22.097673498094082,-9.332873867824674,-11797.416683118117
31,HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 08:52:11 2019,0,0,-19.298637280706316,-5.895721161738038,-5804.593134404245
